goalID,teamID,period,goalTime,goalDate,scorer,gameID,assist1,assist2,seconds
2023102410:35MON6,MON,3RD,10:35,2023-10-24,Mike Matheson,20231024NJ@MON,Cole Caufield,None,3035
2023102407:17NJ5,NJ,3RD,07:17,2023-10-24,Tyler Toffoli,20231024NJ@MON,Jack Hughes,None,2837
2023102434.0NJ4,NJ,3RD,00:34,2023-10-24,Nico Hischier,20231024NJ@MON,Jack Hughes,Jesper Bratt,2434
2023102418:22NJ3,NJ,2ND,18:22,2023-10-24,Tyler Toffoli,20231024NJ@MON,Jack Hughes,None,2302
2023102413:24NJ2,NJ,1ST,13:24,2023-10-24,Alexander Holtz,20231024NJ@MON,Timo Meier,Dougie Hamilton,804
2023102405:49MON1,MON,1ST,05:49,2023-10-24,Justin Barron,20231024NJ@MON,Michael Pezzetta,None,349
2023102413:51DAL5,DAL,3RD,13:51,2023-10-24,Wyatt Johnston,20231024DAL@PIT,Jamie Benn,None,3231
2023102405:22DAL4,DAL,3RD,05:22,2023-10-24,Thomas Harley,20231024DAL@PIT,Joe Pavelski,Jason Robertson,2722
2023102416:03DAL3,DAL,2ND,16:03,2023-10-24,Evgenii Dadonov,20231024DAL@PIT,Matt Duchene,Thomas Harley,2163
2023102407:37DAL2,DAL,2ND,07:37,2023-10-24,Jason Robertson,20231024DAL@PIT,Craig Smith,Roope Hintz,1657
2023102419:22PIT1,PIT,1ST,19:22,2023-10-24,Bryan Rust,20231024DAL@PIT,Jake Guentzel,Sidney Crosby,1162
2023102419:58FLA4,FLA,3RD,19:58,2023-10-24,Kevin Stenlund,20231024SJ@FLA,Matthew Tkachuk,Anton Lundell,3598
2023102415:23FLA3,FLA,2ND,15:23,2023-10-24,Sam Reinhart,20231024SJ@FLA,Oliver Ekman-Larsson,Evan Rodrigues,2123
2023102409:48FLA2,FLA,2ND,09:48,2023-10-24,Carter Verhaeghe,20231024SJ@FLA,Matthew Tkachuk,Eetu Luostarinen,1788
2023102408:30SJ1,SJ,2ND,08:30,2023-10-24,Fabian Zetterlund,20231024SJ@FLA,William Eklund,Thomas Bordeleau,1710
2023102419:29COL11,COL,3RD,19:29,2023-10-24,Ross Colton,20231024COL@NYI,None,None,3569
2023102419:00COL10,COL,3RD,19:00,2023-10-24,Ryan Johansen,20231024COL@NYI,Mikko Rantanen,None,3540
2023102407:47COL9,COL,3RD,07:47,2023-10-24,Mikko Rantanen,20231024COL@NYI,Tomas Tatar,None,2867
2023102404:40NYI8,NYI,3RD,04:40,2023-10-24,Anders Lee,20231024COL@NYI,None,None,2680
2023102419:31COL7,COL,2ND,19:31,2023-10-24,Nathan MacKinnon,20231024COL@NYI,Valeri Nichushkin,None,2371
2023102419:18COL6,COL,2ND,19:18,2023-10-24,Bowen Byram,20231024COL@NYI,Valeri Nichushkin,Cale Makar,2358
2023102405:55NYI5,NYI,2ND,05:55,2023-10-24,Simon Holmstrom,20231024COL@NYI,Cal Clutterbuck,Jean-Gabriel Pageau,1555
2023102402:56NYI4,NYI,2ND,02:56,2023-10-24,Kyle Palmieri,20231024COL@NYI,Mathew Barzal,Noah Dobson,1376
2023102412:52COL3,COL,1ST,12:52,2023-10-24,Cale Makar,20231024COL@NYI,Mikko Rantanen,Devon Toews,772
2023102410:03NYI2,NYI,1ST,10:03,2023-10-24,Cal Clutterbuck,20231024COL@NYI,Noah Dobson,Jean-Gabriel Pageau,603
2023102405:19COL1,COL,1ST,05:19,2023-10-24,Ryan Johansen,20231024COL@NYI,Mikko Rantanen,Cale Makar,319
2023102404:55SEA9,SEA,OVE,04:55,2023-10-24,Jordan Eberle,20231024SEA@DET,Jared McCann,Vince Dunn,3895
2023102418:38SEA8,SEA,3RD,18:38,2023-10-24,Jared McCann,20231024SEA@DET,Matty Beniers,Jordan Eberle,3518
2023102410:26DET7,DET,3RD,10:26,2023-10-24,Alex DeBrincat,20231024SEA@DET,Dylan Larkin,Shayne Gostisbehere,3026
2023102404:38DET6,DET,3RD,04:38,2023-10-24,Dylan Larkin,20231024SEA@DET,Shayne Gostisbehere,Moritz Seider,2678
2023102402:10DET5,DET,3RD,02:10,2023-10-24,Shayne Gostisbehere,20231024SEA@DET,Moritz Seider,Dylan Larkin,2530
2023102419:04SEA4,SEA,2ND,19:04,2023-10-24,Tye Kartye,20231024SEA@DET,Brian Dumoulin,None,2344
2023102417:54SEA3,SEA,2ND,17:54,2023-10-24,Jaden Schwartz,20231024SEA@DET,Alex Wennberg,Oliver Bjorkstrand,2274
2023102405:16SEA2,SEA,2ND,05:16,2023-10-24,Jaden Schwartz,20231024SEA@DET,Vince Dunn,Matty Beniers,1516
2023102401:07DET1,DET,2ND,01:07,2023-10-24,Joseph Veleno,20231024SEA@DET,Olli Maatta,Daniel Sprong,1267
2023102402:20ANA5,ANA,OVE,02:20,2023-10-24,Frank Vatrano,20231024ANA@CLB,Benoit-Olivier Groulx,None,3740
2023102416:13ANA4,ANA,3RD,16:13,2023-10-24,Brett Leason,20231024ANA@CLB,Ross Johnston,None,3373
2023102409:13CLB3,CLB,3RD,09:13,2023-10-24,Adam Fantilli,20231024ANA@CLB,Jack Roslovic,Jake Bean,2953
2023102415:49ANA2,ANA,2ND,15:49,2023-10-24,Ryan Strome,20231024ANA@CLB,Pavel Mintyukov,Mason McTavish,2149
2023102416:49CLB1,CLB,1ST,16:49,2023-10-24,Emil Bemstrom,20231024ANA@CLB,Ivan Provorov,Adam Fantilli,1009
2023102405:02BOS3,BOS,3RD,05:02,2023-10-24,Trent Frederic,20231024BOS@CHI,James van Riemsdyk,Charlie Coyle,2702
2023102404:06BOS2,BOS,3RD,04:06,2023-10-24,Matthew Poitras,20231024BOS@CHI,Morgan Geekie,None,2646
2023102403:50BOS1,BOS,2ND,03:50,2023-10-24,Pavel Zacha,20231024BOS@CHI,None,None,1430
